State | Easternmost Zip | Westernmost Zip | Northernmost Zip | Southernmost Zip
---------------------------------------------------------------
AP | 96337 96208 
OH | 44805 
MT | 59003 
MA | 1721 
PA | 17921 
NH | 3217 
MO | 65010 
KY | 41102 
MT | 59004 
NY | 12407 
KY | 41101 
VA | 23005 
KS | 67831 
IL | 62612 
WI | 54806 
AL | 36251 
KY | 41114 41105 
OR | 97520 
TN | 37015 
IL | 62808 
ND | 58413 
OH | 43003 
IN | 46705 
MI | 48806 
MA | 1222 
IL | 61912 
OH | 44005 44004 
IA | 51232 
IL | 61006 
SD | 57424 
NE | 68817 
WV | 25503 
ID | 83420 
MD | 20861 
NH | 3441 
NY | 14710 
PA | 16613 
OH | 43103 
AL | 35953 
OR | 97711 
MN | 55704 
WA | 99402 
CO | 81612 81611 
TX | 79502 
PA | 17304 
IA | 51432 
KS | 67416 
VA | 23302 
MA | 2702 
IL | 62510 
FL | 34705 
PA | 19014 
FL | 32102 
IL | 61501 
SD | 57213 
NY | 11102 11103 11105 11106 
OR | 97103 
IA | 52720 
CA | 93423 93422 
TX | 78002 
KS | 66002 
NJ | 8004 
PA | 19310 
WI | 54104 
OR | 97813 
GA | 30602 30608 
TN | 37303 
GA | 30607 30606 
AL | 35611 
GA | 30605 30604 30603 
IL | 62613 
IN | 46912 
LA | 71003 
OH | 45701 
WV | 24712 
GA | 30601 
TX | 75751 
TN | 37371 
GA | 30612 
PA | 18810 
MI | 49011 
ME | 4912 
TX | 75752 
NY | 12015 
AL | 35614 
WI | 54411 
AL | 35613 
GA | 30609 
AL | 35612 
CA | 94027 
ID | 83801 
NY | 12810 
KS | 66932 
MA | 1331 
NY | 14010 
AK | 99547 
AR | 72823 
IA | 52206 
VA | 24311 
NH | 3811 
IL | 61235 
NE | 68713 
NC | 28421 
GA | 30313 31139 31131 31119 30314 31141 30368 31145 30315 31136 30316 30317 30318 30319 
NY | 14808 
IL | 61723 
GA | 31126 30320 30321 30388 30350 30353 30354 30355 30356 30357 30358 30359 30360 30361 30398 30396 30394 30392 30349 30385 30384 30380 30378 30377 30375 30374 30362 30371 30370 30369 30363 30364 30366 30333 31106 30322 30324 30325 
TX | 75551 
GA | 30326 30327 30328 30329 
MO | 63530 
KS | 67008 
IN | 46031 
GA | 30331 30332 31107 30334 30336 
LA | 71404 
GA | 30337 30338 30339 30340 30341 30342 30343 30344 30345 30346 30348 30312 
NE | 68923 
MI | 49709 
ID | 83601 
